username,rating,comment
_*****x,4,sản phẩm giống hình son có 💄vị ngọt như kẹo 🍬 độ lì rất tốt bóng môi 👍👍
,3,shope mal mà đóng gói chán zl nch tạm được jwksbhsjsnsnsjsksks
,4,son xinh nha mà dễ trôi màu nha mng giao hàng lâu
,3,son bóng mà nó ko bóng nó kì kì sao ý
,2,màu lên không đẹp tí nào
,4,công dụng chịu độ bền màu chịu
,4,độ bền màu ổn mùi thơm nhỏ gọn nhma màu này nó kh giống ảnh lắm huhu cân nhắc nha được cái son cũng bóng nhẹ dễ chịu
,3,thất vọng nhiều chút trên hình thấy 303 là một màu đỏ cam đất nhưng khi tô lên môi lại ra màu hồng còn 304 là đỏ rượu nhưng tô ra màu hồng pha với tím ko ưng lắm nma cũng có làm răng trắng hơn tí mình cũng k thích mùi son này lắm độ lì ok nhưng khi tô lên môi chất son khá khó tán sẽ kh mua lại
,3,màu không giống như hình 201 là hồng cánh sen mọi người ạ khá thơm nhưng chất son không ưng nhanh trôi giao hàng khá chậm nhưng shiper thân thiện
,3,màu hong đưoc đậm í mjnh hơi thất vọng mà giá rẻ nên cũng ohke
,3,mình mua loại 203 nhưng giao mà 402 shop giao hàng không đúng yêu cầu
,3,công dụng son môi độ bền màu khá tốt son màu xinh mà gói hàng đúng chán lun như kiểu bố thí bung luôn hộp giấy ko có chống sóc hay 1 thứ j chê shop
,5,- Son hơi bị đỉnh!!! Đóng gói chắn chắn. Còn nguyên tem mác ! nice
,5,Sp đóng gói kĩ son có mùi thơm. Son khong bị khô môi và màu son lên đẹp.
_*****y,5,Hiệu ứng làm đẹp:son dep xai ngon phe bo re het r g t ghi them de kiem xu shoppe hen` qua tr
_*****z,3,"Dành cho da:ko rõ
Mùi hương:trà đào
Công dụng:dưỡng môi

Màu ko giống vs hình đăng tải lắm,đậm hơn 1 chút,thỏi son hơi mềm,cứ bị lỏng lỏng í.Nma thoa lên môi dưỡng ẩm oke và mùi trà đào rất thơm,còn đc tặng thêm mặt nạ nữa."
_.amy._,5,"hàng đóng gói rất là chắc ko sợ bị gãy son, chất lượng sản phẩm tốt, giao hàng nhanh"
_.tmanhhcutii,3,bao bì ổn lợi ích đẹp môi kinh nghiệm sử dụng ko có màu này ánh cam nhiều k thích lắm màu kia chắc đẹp hơn đóng gói sơ sài giao lâu
__87zwwkok,4,Tuyệt zờiiu
__juhong25_,5,"Công dụng:son
Độ bền màu:tốt

sản phẩm đẹp, đúng mới mô tả, màu son siêu xinh, đóng gói cẩn thận, giao hàng nhanh, nói chung là đánh giá."
__kym__,5,"Đã mua 3 lần, cây son thần thánh "
_26th7_,4,"Độ bền màu:khá là lì
Công dụng:son môi

Son thơm lắm, rẻ, đẹp nên mua nhé hshwvxubsshns"
_28lily,1,Trời ơi ai tính mua hàng thì nên suy nghĩ lại nhé. Giao thiếu hàng mà nhắn tin thì không trả lời. Làm ăn vậy mac cũng đòi bán hàng à? Vì lỡ xác nhận mà chưa kiểm tra đơn trước nhưng shop cũng phải có tí trách nhiệm. Đằng đây nhắn tin còn không thèm trả lời. Đúng là hề.
_2jz54e457,4,son màu khá đẹp các bạn nên mua màu sáng để khi tô nên môi nó trầm xuống là vừa son mùi thơm ko có chì nhưng lại rất ít
_3tc644_0s,1,"Mới nhận hàng là mở ra thấy thích rồi mặc dù chưa test chất son nhưng thấy quà mini hơi nhiều, chỉ là nhận được hàng lâu thôi, sẽ quay lại đánh giá lần hai sau khi thử son. Đánh giá lần hai, sau khi kiểm tra lại sản phẩm thì mới biết shop giao nhầm màu, chờ gần cả tháng mà bị thế này thì rất không hài lòng"
_5th4_,5,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc
_7sc645pvh,5,"Sản phẩm khá là oke lần sau sẽ tiếp tục ủng hộ shop ạ, tkanks gou"
_aie2hag9k,1,Ko hiểu mình đang đánh cái gì lên môi luôn màu khó đánh khó mix kiểu gì. Suy nghĩ trc khi mua nhé son hôi kiểu gì ấy
_anh.tus_,1,làm đẹp có kinh nghiệm sử dụng đánh lợi ích tô son không biết gói hàng kiểu gì mà lại làm bể đúng chịu
_anhlinh_,1,"Màu cũng bình thường, thoa lên mềm môi nhưng cảm giác nó hơi hại môi. Khi môi bị tróc da nhẹ thoa lên son lại thấm màu vào cả môi không rửa ra"
_anhthu2310,5,"Dậy đi ăn sáng rồi về làm thêm lần nữa rồi trả phòng mấy bà ơi.

Nhớ xuống trước trả tiền phòng, để mình được cái tiếng thơm là chơi nó chứ không phải nó bao mình.

Nhớ!"
_btix4owbm,4,"Hình ảnh mang tính chất nhận xử, sản phẩm chưa dừng chưa biết chất lượng thế nào"
_c4c9w48s7,4,"Công dụng:son  moii
Độ bền màu:vừa

Cũng được"
_chigiao2510_,5,"A12 quá nổi tiếng lun ròi , mùi rất thơm , giao hàng nhanh nữa !!"
_cj4jqxr7t,4,"Lợi ích:làm đẹp

Đẹp  nên mua nha"
_clonebyme_,4,công dụng làm cho đỡ giống zombie độ bền màu 6 10 màu như trên ảnh có lớp tint hồng mà t thấy cây này b t đánh ra đỏ nâu t đánh ra đỏ ánh hồng sao á tr ship 6 hay 7 á ngày
_cocowin_,4,công dụng make up độ bền màu lâu mùi k thơm lắm đâu son đắt mà ít môi mình hồng sẵn nên dùng màu này như hồng cánh sen mn nên cân nhắc
_d.v.h.t_1012_,4,màu tươi xynk lắm có nhũ vàng ra nắng tuyệt lun he he hương socola thơm nhẹ nhàng hấp dẫn v package đáng iu lắm luôn v cơ mà độ dưỡng cao thiệt á hơi nặng môi
_diennn_,5,Màu cũng ok tớ cứ cảm giác như màu son khác đi á đánh lên không được đẹp nữa giao hàng nhanh hình ảnh chỉ mang tính chất nhận xu
_dnvd_99,2,công dụng son môi shop chuẩn bị hàng nhanh đóng gói cũng oke mỗi tội màu son ko như mô tả tưởng ánh cam nhiều hơn nhưng lên mỗi lại ra hồng cánh sen làm mua tặng ny bị nói quá trời ai mua nên cân nhắc màu
_dpup.wtpo_,4,công dụng giúp bản thân tự tin hơn độ bền màu tầm trung hàng giao về tay khá lâu về sp mình thấy nhỏ chắc chỉ sử dụng tầm vài tuần là hết độ lì mình thấy chưa đạt yêu cầu lắm đi ăn 1 buổi là bay hết liền về thái độ cũng như là dịch vụ chăm sóc khách hàng thì hãng làm tạm ổn tổng kết lại mình thấy ổn fedback của mình cũng chỉ là tham khảo nên các bạn cân nhắc trước khi mua nhó
_dpup.wtpo_,3,chào các bạn đọc đánh giá này nhé👐🏻 mình đánh giá về vận chuyển và giao hàng rất lâu quan trọng là khi nhận mình lại nhận đc nhiều quà tặng kèm nhưng sản phẩm nhận được trên tay lại là sai màu đặt sau đó thì mình đã liên lạc lại với cửa hàng thì họ đồng ý đổi lại vs 1 chiếc voucher về đánh giá chất lượng sản phẩm thì mình thấy chất son nhẹ khi lên môi tổng kết tạm ổn
_dxo4nu9mi,1,màu 02 nhạt quá
_ehh0irqn2,1,độ bền màu khong công dụng son tệ k có đầu son nên son bằng niềm tin hả shop 1 sao 😌
_gnasche.iv_,5,"Công dụng:làm đẹp
Độ bền màu:chuẩn

Chiều buông nắng hoàng hôn khuất xa chân trời
Chiều ngoại ô gió khẽ đùa tóc em
Kìa xa xa luỹ tre giang tay đón chào
Cong cong con đường uốn quanh
Chiều dạo phố chỉ mang chút hương thanh bình
Chiều ngoại ô gió theo từng bước chân
Kề vai anh bước đi em khẽ hát thầm
Thương anh yêu anh em ước mơ"
_havu_,5,"Công dụng:Son lì
Độ bền màu:Không bền lắm

Nhanh trôi nha =))) Môi khô nữa, nên dưỡng nhiều trước khi đánh không là khô lắm =))) được cái màu đẹp =)))"
_iamhanh,3,công dụng son độ bền màu trôi khá lâu son test thử lên tay màu đẹp nma đánh lên lại ra màu hồng đỏ ko vừa ý mk cho lắm
_itsphng.th_,4,màu lên tat thì đẹp lên môi ra màu hồng chắc do sắc tố môi mỗi người
_kaity293_,5,Son thơm mùi kẹo. Lên màu xinh lắm luôn ấy
_kh_huyenn,1,độ bền màu 10 1 công dụng bôi màu xấu bôi hỏng hết môi không nên mua nha mọi người nhé
_khanhlinhh_06,5,son đẹp lắm lunn í mn chưa bao h thất vọng khi mua ở shopp í đỉnh lắm luôn
_lavender241,4,mùi son thơm dễ chịu shop chuẩn bị hàng nhanh son mình đánh thấy không khô môi nhưng son nhanh trôi hộp còn không có tem chống giả lun nắp hộp méo mó bị rách nữa
_linh.67_,1,Chê thật sự dùng môi châm chích như kiểu kiến cắn vậy đã thế còn làm khô môi bong tróc da môi . không bao giờ mua lại 👍
_mingh.anks,4,hiệu ứng làm đẹp xinh
_myanhh_,4,độ bền màu tot mấy năm nay suy nghĩ của tôi về quan hệ với bạn bè rất thoáng bạn bè là thu hút lẫn nhau không thể gượng ép có hai ba người bạn tri kỷ đã là điều may mắn rồi nếu là bạn bè thực sự bạn muốn trốn cũng không được
_nem3v3q0n,1,độ bền màu nhanh trôi tôi đặt màu khác nhưng nó lại thành màu hồng cánh sen
_nghngocc,1,sp ko như quảng cáo nha 🙏🏻 màu son quê sến nhanh trôi ah 😱
_nghuyentrang,5,"Độ bền màu:h
Công dụng:b

Son Dưỡng Môi Curél Intensive Moisture Care Moisture Lip Care Cream 4.2g là sản phẩm son dưỡng môi đến từ thương hiệu mỹ phẩm Curél của Nhật Bản, với thành phần chứa Ceramide chức năng kết hợp chiết xuất Eucalyptus, giúp cấp ẩm để đôi môi căng mọng, mướt mềm, hỗ trợ giảm khô nứt và"
_ngnhi06,5,"Kết cấu:mịn
Độ bền màu:cũng lâu
Công dụng:đánh dô mỏ

Giao nhanh lắm luôn, tuyệt vời. Màu son đẹp"
_ngoctrinh1209_,5,Sp đẹp ạ. Mình check mã thì đúng mẫu đúng hàng. Mua bên mall nên rất yên tâm
_nguyendan_,5,"mới đặt cứ tưởng giao lâu ai ngờ giao nhanh vãi luôn í, màu xinh nhe , nên mua ạ"
_nt.ngocdiem_,5,Tốt
_ogvkz_wl1,1,Son không bền màu. Đã hủy đơn vẫn cố gửi There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle. ― Albert Einstein
_okn1hp5lj,3,hàng này giống fake ý màu sắc nhìn k giống loại mik đag dùng nhma màu vẫn chấp nhận được nha 3sao vì có mùi trái cây thơm lắm á
_phanhhh_,1,công dụng son đừng có mua mui khong thơm màu khong đúng chất son chán
_phuongphuong2211_,4,xinh lắm lun ấy ạ nhm sao cảm giác hơi ít kiểu như dùng r sắp hết í
_phuongthuyy208_,1,"son pha ke, đánh lên còn cảm nhận rõ mùi chì ,thất vọng chất son thì chán khỏi nói ,được mỗi vỏ đẹp ,có mùi socola nhẹ "
_pp3vxf6uy,3,"Công dụng:đánh mỏ
Độ bền màu:ok

Son cũng khá lì nhưng màu khác trong ảnh, son có vẻ hơi ít, son nhẹ và vỏ bâm vân tay nhưng nhìn cũng sang,rẽ nên nói chung là cũng ổn, hàng quốc tế nên 7-8 ngày mới về (ảnh ko lq tại lười chụp)"
_q_u_y_n_h_,5,"Xin loi, thue bao cua Quy khach khong du dieu kien ung tai khoan linh hoat 9118. De duoc ung 20.000d (phi 3.000d), vui long bam phim *911# (ap dung cho TB tai khoan < 5000d va kich hoat >=60 ngay, khong no cuoc ung tien 911). Chi tiet LH 198 (mien phi)."
_rvltpval0,3,công dụng làm đẹp độ bền màu kém màu tô lên môi khác vs trong ảnh nha nghe nói lâu trôi nên mua thử mà nó lại nhanh trôi như thế này lấy tay lau nhẹ nhàng thôi cũng trôi nữa
_syubmjh_o,4,"Hiệu ứng làm đẹp:đẹp
Mẹo:không
Lợi ích:lâu trôi

Son đẹp lắm ạ nên mua nha"
_thinez.ank_,1,công dụng son độ bền màu dở son chất bết dính khó chịu lên môi nặng lắm hàng focalure mà như thế thì chịu r kh có lần2 mua tốn tiền
_thr.nguynniee_,5,"Để phòng bệnh tay chân miệng, người chăm sóc trẻ và trẻ em cần thường xuyên rửa tay, vệ sinh các vật dụng, đồ chơi của trẻ, bàn ghế, sàn nhà… Nếu nghi ngờ trẻ mắc bệnh, hãy đưa trẻ đến khám tại các cơ sở y tế."
_thuytuyet0603,4,son đẹp bóng mùi thơm nhưng mà tô lên môi nó hơi bị rát môi hình ảnh và video chỉ mang tính chất minh họa
,3,vỏ son ngoài bị rách ạ hộp có hơi móp một xíu lần đầu mua ở shope mal nhưng k được như kì vọng
,2,bất ổn tớ thấy nó khác so với hình ngoài ra mùi còn hơi nồng nữa nhấn mạnh lại là màu rất khác so với ảnh nha
,4,thấy review cũng mê đặt 1 cây màu 08 son thiết kế khá đẹp cầm nặng tay son thơm socola lắm luôn nhưng màu son rất rất rất nhạt mặc dù mk chồng lên nhiều lớp và rất nhanh trôi huhu 😢 hơi bị thất vọng cũng may là mk chọn màu đậm 😥 lúc đầu định mua romand nhưng thấy bao bì em này xinh quá 😁
,3,màu ko giống trên hình lắm tóm lại là nó khá xấu đối với mình
,4,công dụng son môi độ bền màu ko biết nhưng chùi đi sẽ để lại lớp đỏ đỏ cũng đc sản phẩm đẹp màu ok lắm
,4,màu khác quá đánh lên siêu khô môi bóng nhìn không tự nhiên rất ảo giá tốt nên cho 4 sao chứ mình mua về là mình k dùng được ạ
,2,cái vỏ lỏng lỏng í nỏ chắc chắn lắm màu lên cx xik nma ko giữ màu đc lâu lắm
,1,công dụng son môi đừng mua cây son bóng nhé nói thật son lên nó có màu hồng cánh sen còn cây kem thì màu khá khác so với hình
,1,mua 1 đằng về 1 nẻo
,3,độ bền màu kém công dụng son môi son lên màu không được như ý cho lắm cảm giác như chỉ có tác dụng làm bóng thôi chứ lên màu không rõ
,2,kết cấu dạng gel độ bền màu tệ thất vọng nhất son ko đc như trên ảnh đánh ở trên môi nhạt toẹt và nhiều nhũ lấp lánh được cái vỏ đẹp
,4,tôi thất vọng về sp lắm luôn lúc đầu cứ nghĩ son sẽ dùng rất thích ai ngờ mình vừa đánh lên nó lên màu hồng ơi là hồng mà trong khi mình đặt màu rõ xinh luôn
,3,vì là hàng quốc tế nên giao hơi lâu chất son kiểu dính dính bết bết í có mùi thơm nhẹ không có hộp son và lên màu không đẹp lắm son còn bị vài vết xước nữa nói chung là mua sài chơi thôi
,3,sản phẩm giống hình hình ảnh và video mang tính chất nhận xu màu xấu
_tjwqg1pat,5,"Làm đẹp:yess
Bao bì:đóng gói kĩ nhaaa

Mùi thơm cựcc"
_tnnhuy5813,4,Mình tưởng màu H02 sẽ đậm hơn xí nữa nma cũng xinh lung linh luonnn
_tran_huong,4,"Fragrance:màu dâu

Mới nhận hàng chưa khui nên k biết sảm phẩm như thế nào, hình ảnh chỉ mang tính chất nhận xu"
_trang0107,5,Mua mall nên rất yên tâm về chất lượng sản phẩm. Da mình hơi ngăm nên lên màu rất hợp. 
_tranhuyen1210_,3,công dụng làm bóng dưỡng môi độ bền màu rất nhanh trôi ko bền mình mua màu go2 như trên ảnh vì thấy màu rất đẹp nhưng khi hàng về mình thử màu lên tay thì thấy hơi thất vọng màu khác hoàn toàn luôn đánh lên môi cũng khác chắc do sắc tố môi của mình
_tthao.0,3,màu đỏ cam gạch thiên cam nhưng k bị vàng răng đâu đánh 2 3 lớp mới lên rõ màu nhé mình k thích nhất là mùi như xà bông ấy còn giữ mùi lâu nữa 🥲
_tu_nhi_,5,"son mịnh ,đóng gói kĩ ,chất son rất đẹp mùi thơm lên màu rất đẹp"
_tuna,3,công dụng son độ bền màu bình thường môi bà nào thâm thì đừng mua màu này đánh chả lên màu đc cái thơm
_ulyb0dj88,4,hiệu ứng làm đẹp ko bt kinh nghiệm sử dụng lần đầu mẹo để làm đẹp son bóng bị lỗi nha mn ko bt bôi lên có dẹp ko nựa shiper nhiệt tình giải hàng trong một tuần rồi lên màu đỏ dần dần phai ra màu hồng nha mn
_unf85ruct,2,1 điểm cho shipper
_v4p7ateto,5,"Công dụng:đẹp

Sản phẩm rất đẹp nhà tuy đc tặng son nhưng ko sử dụng đc hơi tiếc nhưng đc tặng nên ko sao"
_vante_m7,3,màu ko đậm như hình đâu chất son dính dùng khá nặng môi màu khác ảnh lắm lên môi siêu nhạt gần như màu nude chồng nhiều lớp cũng không giống ảnh mà còn nặng môi
_ywi0h35yp,3,công dụng lm đẹp độ bền màu tốt sơn ko thơm nhưng mày rất đẹp
0*****f,3,"Công dụng:dưỡng mồm
Dành cho da:nào cũng dc
Mùi hương:cam"
0*****i,5,"Công dụng:soái ca cạnh nhà tôi
Kết cấu:tình yêu kh thể ngờ
Độ bền màu:hai ba

Dạo này có gì mới không? Chúc mừng sinh nhật Chúc ngủ ngon Bạn gái 99 điểm vẻ đẹp đích thực"
0123456789_nihaowoaini,4,công dụng son kết cấu nsn độ bền màu sna đẹp nhưng cây dt5 cứng ngắc vặn mãi mới ra
01nguynqunhanh443,1,"Màu son quê lắm luôn, Kh lì như review, ncl mn nên cân nhắc"
01ywgbbdgy,1,Son bết bị hột thơm mùi socola vỏ đẹp không nên mua không tán đc và bị hột
0383916689nq,1,lừa tiền à me gần 2lot ma son như bôi mỡ vào mồm nhớp nhớp bảo son lỳ sao chả thấy lỳ tý nào thế ko môt ty lỳ nào phí tiền lừa đảo sao lại buôn bán thế chứ chán
03iwaux56c,1,"Gói hàng đẹp giao hàng nhanh nhưng chất son kem lì thì k giống lắm, như son bóng. Bôi rất nhiều lớp nhưng k lên màu. Swatch lên tay chất kem lỏng không lên nỗi màu."
07.lpgia,4,"Màu ko giống mẫu, nhưng cũng xinh nên tạm chấp nhận"
08sd698fhp,2,son trên ảnh khác ở ngoài đời nha shop bán kh uy tín trên ảnh màu đẹp ra ngoài màu xấu vc kh nên mua
0931916534phi,4,đừng mua f01 nó là màu hồng ánh tím tím lịm dù test lên tay luôn đặt 2 cây có 1 cây nắp lỗi
098vzi4sgk,1,"Shop giao thiếu nên em không nói quá nhìu về cây này,đã nhắn cho shop chỉ kêu em chụp lại cho shop coi là từ sau khi chụp gửi là ko còn thấy phản hồi shop nữa"
09h6hkya84,3,kinh nghiệm sử dụng vjbk làm đẹp được lợi ích tốt rất đẹp”hình ảnh mang tính chất minh hoạ”😶
09yenni,4,giao hàng không lâu cũng không nhanh đóng gói chắc chắn màu không được giống lắm
0c7e496ai3,1,Mùi khác đợt trước mua mùi kiểu hoa quả đợt trước là mùi socola. Mùi đợt này khó chịu hơn. Chất son thì không được sốp mềm như đợt trước nói chung càng ngày càng tệ
0cvfwrg938,1,Mua mấy thỏi rồi mà R300 đánh chán thực sự Chất son k đều màu bị loang đặc biệt đánh môi trên rất khó lên màu chỗ đậm chỗ bợt bợt Đc mỗi cái vỏ xinh
0dpmdedhg2,1,kinh nghiệm sử dụng ko hiểu lì ở chỗ nào dùng chán thật sự như son bóng 😒😒😒 trên ảnh đẹp thế nhận về ko giống và thất vọng lun
0f9jnjoybe,2,"lên tay ra màu đỏ lên môi ra màu hồng hâhhahahahahhahahahahaha bóng, lì, lau mãi k hết, k biết ng bán ng việt hay trung để t dùng tiếng trung tak chửi"
0hz086mx7n,4,nchung là cũng đẹp vẫn chưa trầm đúng ý mình lắm 5 5g nhưng mà nhẹ hều với khá lì nha mình uống nước nó cx vây ra nhma son trên môi thì vẫn còn nhiều
0ilg8t45u_,5,"Công dụng:tốt
Độ bền màu:tốt

gaiiabzbzmaoaidgdvsb123.banksisbbsn"
0j1xg7ot3v,4,hộp như bị mở ra v
0ljnwu9434,1,rất không hài lòng.
0os6wdo97y,4,"Độ bền màu:tạm, ăn là bị trôi
Công dụng:son môi

Màu ko chuẩn như trên hình, độ bám lì vừa phải, ăn sẽ bị trôi, mùi thơm, cảm giác son ít sao sao ấy, màu son lên khá ổn nhưng chỉ hợp với da sáng thôi, nó hơi hồng ấy"
0s2n4080_5,4,"Kinh nghiệm sử dụng:bt
Bao bì:bt
Làm đẹp:tô mỏ

Mình nhận được mẫu mới mẫu cũ có vẻ màu đẹp hơn"
0s2n4080_5,4,kinh nghiệm sử dụng bt bao bì bt làm đẹp tô mỏ mình nhận được mẫu mới mẫu cũ có vẻ màu đẹp hơn
0tenhd81,5,"Son đẹp lắm í, mùi thơm. Nhưng giao hàng hơi lâu, rất vui vì được tặng kèm túi đựng bút"
0wovoykqj8,3,tạm đc
0y7_gy1te8,4,Độ bền màu:khá lì
1*****2,4,bao bì kbiet lợi ích bôi son làm đẹp môi chinh lắm ý nskakanbdbdbdbdbdb
1*****9,5,"Sản phẩm không có gì để chê, ảnh và video chỉ mang tính chất nhận xu"
1*****a,4,công dụng dưỡng k giống màu mình mua không được đẹp tạm được thôi munwkb jwhwb ụhwbs
,5,Son siêu đẹp. Thơm. Mịn. Mướt trên môi. Siêu ưng. Thanks shop
,5,"Xinh lắm ạ, mua  lần 2 r vẫn thay xịn 
Jdjdjdjkdjdkdkdkdkdjdjdjd"
,5,"Siêu sịn luôn mùi khá ưng
Yêuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu"
,5,Son xài thích lắm ạ. Cảm ơn shop nhiều nhé
,5,Màu rất đẹp. Đúng với màu mình thích
,5,Trất lựn sản phẩm tuỵt zờiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
,5,Hài lòng.
,5,"Son tốt, mùi thơm, tô lên rất đẹp"
,5,Màu a12 xịn khỏi bàn. Hihi
,5,Goodddddddddddddddddddddddddddddddddddddddddddddddd
,5,Đẹpppppppppppppppppppppppppppppppppppppppppppppppp
,5,"Son đẹp, giao hàng nhanh"
,5,Xịn màu đẹp và thơm
,5,Son mịn màu siu đẹp
,5,Son xài mềm môi lên màu rất ok luôn 
,5,"Độ bền màu:rất chi là real
Công dụng:ok nha"
,5,Màu xinh . Màu y như ảnh đăng
,5,đẹp cực lun ạ mùi thơm lắm
,3,Ah in your eyes off lên trường để t coi là một trong fic JIS ANSI Lumens
,2,giao hàng quá lâu.
,1,cực kì thất vọng về màu son màu lên không hề giống ảnh mà chất son đánh lên cũng không đc mền mịn khuyên mn tránh xa màu a08 màu hồng cánh sen dã man chắc đánh cả mấy năm cũng không hết lọ ôi lần đầu mua blackrouge mà vớ phải màu hết hồn chim én
,4,"Công dụng:dưỡng môi
Mùi hương:thơm mùi đào

Xài cũng oke. Hình ảnh chỉ mang tính chất nhận xu=)"
,2,Son đánh màu lên được nm ko tán đc j:<<
,1,"Son như kiểu là bị người ta dùng gần hết rồi, còn không có lớp màng bọc"
,3,"Làm đẹp:màu hơi sáng so với da
Bao bì:ok"
